original,predicted,ix,wer,cer,num_tokens,num_chars,path,substitutions,insertions,deletions
तत्र प्रथम सूत्रेण एव गृह्य पदस्य आचार पदस्य च निर्वचनं सूत्रकारः एवं करोति ,तत्र प्रथम सूत्रेण एव गृहस्य पदस्य आचार्य च निर्वचनम् सूत्रकारैः एवम् करोति ,783,6,9,13,63,/home/holla/data/processed/KAM-2010-07-20-0428-0012.wav,5,0,1
केन्द्रीयान्वीक्षण विभागस्य विशेष न्यायाधीशस्य अवकाश कारणात् न्यायालयस्य कर्मकरैः केषाञ्चन् आरोपिणां अधिवक्तृणां च उपस्थितीः पञ्जीकृताः ,केन्द्र यान् वीक्ष्य विवाहस्य विशेष न्यायाधीशस्य अवकाश कारणात् न्यायालयस्य कर्मकरः केषाञ्चन आरोपणम् अधिकरणम् च उपस्थितिः ,358,10,27,14,122,/home/holla/data/processed/MDV-2014-05-23-1810-0007.wav,7,2,1
अतः आग्नेयो अष्टाकपालः अमावास्यायां यदाग्नेयौष्टाकपालौ अमावास्यायां भवति ऐन्द्रं दधि देवताश्चेव तेनेन्द्रियञ्च यजमानः अवरुन्धे ,अतः अग्नेः अष्ट अमावास्याकालः यथाग्निः अष्टौ अमावास्याकालः भवति ऐन्द्रम् दधि देवाश्च वती नेत्रम् च यजमानः अवर्धत ,755,12,38,13,114,/home/holla/data/processed/VAM-2010-06-22-2218-0050.wav,9,3,0
इति श्रुतिः पुरोडाशयागयोर्मध्ये उपांशु याजं आज्यहविषा यागमपि विदधाति ,इति श्रुतिः पुरुषो मध्ये उपायम् आज्य हविषा यमपि विदधाति ,158,6,18,8,61,/home/holla/data/processed/VAM-2010-06-22-2218-0033.wav,5,1,0
पदकतालिकायां तु अधुनावधि सप्त सौवर्णानि द्वादश राजतानि सप्त च कांस्यानि पदकानि विजित्य भारतं सप्तम स्थाने विराजते ,पताकायाम् तु अधुनावधि सप्त सौवर्णानि द्वादश राज तानि सप्त च कस्यापि पदकानि विजित्य भारतम् सप्तम स्थाने विराजते ,12,5,11,16,98,/home/holla/data/processed/MGV-2014-07-29-0655-0011.wav,4,1,0
आम् आद्मी पार्टीति दल प्रमुखेन अरविन्द केजरीवालेन आप् दलस्य प्रचाराभियानेषु भारतीय जनता पार्टीति दले प्रहारक भाषणे नरेन्द्र मोदी कट्वालोचितः ,आम् पद्मपाद प्रमुखे अरविन्दे निवातेन आदरस्य प्रचाराय येषु भारतीय जनता पातीति दले प्रहारः भाषते नरेन्द्र मोदो क्व लाचितः ,725,15,31,19,122,/home/holla/data/processed/SUK-2015-02-01-0655-0007.wav,12,1,2
पाकिस्ताने दुरापन्नायाम् आक्रमण मालिकायां न्यूनातिन्न्यूनाः चतुर्दश जनाः व्यापादिताः प्रायशः पञ्चाशद् अन्ये च आहताः संवृत्ताः ,पाक स्थाने दुरापम् याम् आक्रमणम् कायम् न्यूनातिन्यूनम् चतुर्दश जनाः व्यापाराः प्रायशः पञ्चाशत् अन्ये च आहताः संवृत्ताः ,533,9,18,14,112,/home/holla/data/processed/SDS-2014-10-24-0655-0002.wav,7,2,0
संसदो बहिः वार्ताहरैः भाषमाणः संसदीयकार्यमन्त्री एम् वेंकय्यानायडूः अब्रवीत् यत् अद्यापराह्णे एव नामाङ्कनपत्राणां प्रपूरणविधा समारब्धा ,संसदि बहिः वार्ताः भाषाः संसदि कार्य मन्त्री एम् वङ्गान् ययुः अब्रवीत् यत् अद्य परा इव माङ् पत्राणाम् प्रापूरि विधा समारब्धा ,20,15,30,14,121,/home/holla/data/processed/DAJ-2014-06-05-1810-0012.wav,9,6,0
यत् सः भाज्पा क<unk>न्ग्रेस दलाभ्यां धनं स्वीकृत्य मतदानम् आप्दलायप्रदेयम् इति स्वीयसार्वजनिक्वक्तव्यस्य स्पष्टीकरणं दद्यात् ,यत् सः भाषा क्रन्द भयम् धनम् स्वीकृत्य मतदानम् आपदा प्रदेयम् इति स्वीय सार्वजनिकम् वक्तव्य स्य स्पष्टीकरणम् दद्यात् ,393,11,26,13,112,/home/holla/data/processed/MDV-2015-01-20-1810-0009.wav,7,4,0
प्रशासनं राजनीतिक दलानां न्यायाधीशानां च गुह्यसम्मत्या उच्चसर्वोच्च न्यायालयेषु न्यायाधीशानां नियुक्ति विषये परामर्शार्थं प्रस्तावमेकं प्रास्तौत् ,प्रशासनम् राजनीतिक जलानाम् न्यायदानम् च गुह्यतमत्वात् सर्वो नयनेषु भीषणाम् नियुक्ता विषये परामर्शम् प्रस्तावम् प्रास्तौत् ,244,10,47,14,132,/home/holla/data/processed/SUK-2014-07-25-1810-0004.wav,10,0,0
बांग्लादेशविदेशमन्त्री अब्दुल्हसन्महमूदअली न्यगादीत् यत् भारतस्य नूतन विदेश मन्त्रिणो बांग्लादेशीयप्रवासेन देशद्वयस्य सम्बन्धानां नूतन युगारम्भो भविता ,माङ् देश विवेश मन्त्रि अब्दुर्गम् अली जगदिति यत् भारतस्य नूतन विवेश मन्त्रिणः वाङ् देशीय प्रासेन देशाद् यस्य सम्बन्धिनाम् नूतन युगम् भो भविता ,377,17,37,14,137,/home/holla/data/processed/DAJ-2014-06-22-1810-0009.wav,9,8,0
ऋतुविभागीयनिदेशकेन एल् एस् राठौरेण उक्तं यत् गत रात्रौ द्विपञ्चाशन्निमेषाधिकनववादने समागतस्य भूम्पस्यास्य केन्द्रं बंगालखातिरवर्तत ,विभाव्य निदेशे रावण उक्तम् यत् गतात् द्विपञ्चाशद् शाधि नववादन समागत्य भूतम् तस्यास्य केन्द्रम् मङ्गलानि वर्तत ,933,15,42,13,118,/home/holla/data/processed/DAJ-2014-05-22-0655-0010.wav,13,2,0
साधकानां अध्येतृणाञ्च स् स् सुखेन प्राप्तुं शक्यम् यथा भवेत् तथा चकार ,साधकान् अध्येतुम् च सुखेन प्राप्तुम् शक्यम् यथा भवेत् तथा चकार ,124,5,12,11,59,/home/holla/data/processed/AAM-2010-07-11-0520-0004.wav,4,0,1
ओडिशाराज्ये भुवनेश्वरे जनपदसत्रन्यायालयः शारदावर्गीयप्रमुखं सुदीप्तसेनं दश दिवसात्मके निग्रहणे धर्तुं प्रवर्तन निदेशालयम् अनुज्ञातवान् ,आदिश राज्ये भुवने श्वः जनपद तत्र न्यायालये शरदा वर्षीय प्रमुखम् सुदीर्घ दिवसात्मकम् निग्रहणम् धर्तुम् प्रवर्तनायाम् अनुज्ञातवान् ,897,15,32,12,123,/home/holla/data/processed/DAJ-2014-07-11-0655-0003.wav,11,4,0
जम्मूकश्मीरे जम्मू जनपदस्य अरनियाआर्एस्पुराक्षेत्रयो पाकिस्तानीयैः सैनिकैः विहितेषु गोलिका प्रहारेषु चत्वारो जनाः व्रणिताः ,जन्म काश्मीरे जन्म जनपदस्य अरण्य एस् पुरा क्षत्रः पाणिस्थानीयाः सैनिकैः विगतेषु गुलिका प्राणेषु चत्वारो जनाः व्रणिताः ,454,11,22,12,111,/home/holla/data/processed/NKN-2014-08-11-1810-0008.wav,7,4,0
केन्द्रीयान्वीक्षण विभागः हिमाचल् प्रदेशस्य मुख्य मंत्री वीर भद्र सिंहे आरोपाणां विषये अंतिम् विवरण पत्रं अद्य उच्च न्यायालये दत्तवान् ,केन्द्र यान् वीक्षणम् भागः हिमाचल प्रदेशस्य मुख्यमन्त्रिणम् सिंहे आरोपणम् विषये अन्तम् विवर्तम् अद्य उच्चनालदण्डाः ,30,15,35,18,117,/home/holla/data/processed/MDV-2014-09-01-1810-0005.wav,11,0,4
श्रीमोदिनः शपथग्रहणसमारम्भात् प्राक् सद्भावं प्रकाशयद्भ्यां श्रीलङ्कापाकिस्तानयोः प्रशासनाभ्यां भारतीयमत्स्य जीविनां मोचनम् आदिष्टम् ,श्री मोदितः शपथः ग्रह समारम्भाः प्राक् तद्भावम् प्रकाशयेयम् श्रीलङ्का पाणिस्थानीयाः प्रशासनानाम् भारतीय मतस्य जीविनाम् मोचनम् आदिष्टम् ,328,13,26,11,122,/home/holla/data/processed/DAJ-2014-05-25-1810-0003.wav,8,5,0
गत निशीथे समायोजिते रोमाञ्च कारिणी निर्णायके द्वन्द्वे शारापोवा रोमानियादेशीयां स्वीयप्रतिद्वन्द्विनीं सिमोनाहालेपं पराजित्य विजयश्रियम् अध्यगच्छत् ,गत निषेधे समयोचितेन रोमाञ्चकराणि निर्णायक द्वन्द्वे शापः वा रोमाञ्चानाम् स्वीय प्रतिद्वन्द्विनो स्नानादिकम् पराजित्य जयश्रियम् अभ्यगच्छत् ,690,13,37,14,134,/home/holla/data/processed/DAJ-2014-06-08-0655-0011.wav,12,1,0
अतः श्रुतिः प्रथमं दर्शपूर्णमासान् दर्शपूर्णमासयोरेव मन्त्रं आरभत ,अतः श्रुतिः प्रथमम् दर्पण मासान् दर्पण मासीये मन्त्रम् आरभत ,780,6,16,7,59,/home/holla/data/processed/VAM-2010-06-22-2218-0021.wav,4,2,0
अमुना उक्तं यत् सीसैट्समस्या विषये सदस्यानां मताकलनाय संसदः अर्थ संकल्पीयसत्रानन्तरं सर्व दलीयसम्मेलनमेकम् आयोजयिष्यते ,अमुना उक्तम् यत् सि सत् समस्य विषये सदस्यानाम् मता कला संसदा अर्थसङ्केतेन सत्रान्त सर्वदा सम्मिलितम् आयोजयिष्यते ,432,12,29,13,106,/home/holla/data/processed/MGV-2014-08-07-1810-0002.wav,9,3,0
प्रसिद्धः पर्यावरणवेत्ता सामाजिक कार्यकर्ता च चण्डीप्रसादभट्टः शताब्दस्यास्य त्रयोदशवर्षीयेण ख्याति वर्धकेन गान्धि पुरस्कारेण सभाजितः ,प्रसिद्धाः पर्यावरण वेत्ता सामाजिक कार्यकर्ता च चण्डी प्रसादम् शताब्दस्य अस्य त्रयोदशः वर्षे याति वर्धन गान्धि पुरस्काराणाम् सभाजितः ,778,12,18,13,121,/home/holla/data/processed/DAJ-2014-07-15-1810-0003.wav,8,4,0
तत्रापि पुनः मन्वादयः एव धर्मज्ञाः सर्वज्ञाः अन्ये न इति कथं निर्णेतुं शक्यम् ,तत्रापि पुनः मन्वादयः एव धर्म ज्ञः सर्वज्ञा अन्येन इति कथम् निर्णेतुम् शक्यम् ,963,6,6,12,66,/home/holla/data/processed/AAM-2010-07-11-0520-0089.wav,6,0,0
कर्मजन्यः अम्बुदय निश्श्रेयस हेतुः यस्स आत्मगुणः अपूर्वः सः धर्मः इति व्याख्यानम् ,कर्म धन्यः अभ्युदयनिःश्रेयसप्राप्तिसाधनम् इति व्याख्यानम् ,467,9,30,11,71,/home/holla/data/processed/AAM-2010-07-11-0520-0071.wav,3,0,6
तत्र अथ दक्षिय दक्षिणायणे विवाहो यदा तदा तत्समीपकाल एव समावर्तनं स्यात् ,तत्र अथ दक्षिण दक्षिणायने विवाहो यदा तदा तत्समीपे एव समावर्तनम् स्यात् ,648,4,7,11,61,/home/holla/data/processed/KAM-2010-07-20-0428-0079.wav,4,0,0
पादत्राणोद्योगाय सौविध्यं प्रदातुं पञ्चशतरूप्यकतः सहस्र रूप्यकमूल्यवतां पादत्राणानाम् उत्पाद शुल्कम् अपचाय्य प्रतिशतं षण्मितं विधातुम् अभिहितम् ,प्रणोद्य स्वविद्याम् प्रदातुम् पञ्च शत रूप्यक सहस्र रूप्यक मूल्य ताम् पादत्राणानि उत्पादः शुल्कम् अपचारम् प्रतिशतम् शमितम् विधातुम् अभिहितम् ,731,14,34,14,130,/home/holla/data/processed/DAJ-2014-07-10-1810-0013.wav,10,4,0
सर्वोच्च न्यायालयः भाविस्थल सेनाध्यक्षत्वेन सेनोपप्रमुखस्य दलबीरसिंहसुहागस्य नियुक्तेः समाह्वानात्मिकां याचिकां द्रुतमेव श्रोतुमद्य स्वीकृतवान् ,सर्वो न्यायः भावी स्थल सेना त्यक् त्वेन सेना प्रमुखम् विरसम् सुभगस्य नियुक्तः महात्मनाम् याचताम् द्रुतमेव श्रोतुम् स्वीकृतवान् ,691,15,39,12,132,/home/holla/data/processed/BDS-2014-06-19-1810-0002.wav,10,5,0
जम्मू कश्मीरस्य कुपवाडा जनपदे नियंत्रण्सीम्नि अद्य संजाते एकस्मिन् संघर्षे सैन्य बलानि त्रीन् आतंकवादिनो मारितवन्तः ,जन्म शीलस्य कृपा जनपदे नियन्त्रण सीम्नि अद्य सञ्जाते एकस्मिन् सङ्घर्षः सैन्य बलानि त्रीन् आतङ्कवादिनः मारितवन्तः ,559,8,21,14,102,/home/holla/data/processed/MDV-2014-09-10-1810-0002.wav,7,1,0
गुजरात्विधानसभायाः विशिष्टोपवेशने अद्य स्वीय बहुमानानन्तरं श्रीमोदी राज्यपालाय कमलाबेनीवाल्महाभागायै त्यागपत्रमिदं प्रादात् ,गुजराते विधा सभायाः विशिष्ट उपवेशने अध्यस्य बहुतरम् श्रीमद् राज्य पालय कमला वनिता महाभागा त्याग पत्रमिदम् प्रादात् ,594,15,28,10,114,/home/holla/data/processed/MGV-2014-05-21-1810-0002.wav,9,6,0
आर्थिकसर्वेक्षणानुसारि प्रवर्तमानवित्त वर्षे सकलगृहोत्पादस्य विकासमितिः प्रतिशतं पञ्च दशमलवचतुर्मिततः पञ्चदशमलवनवमित मध्ये स्थास्यति ,आर्थिक सर्वे क्षणु सारः प्रवर्तमाने वित्त वर्षे सकलो पादस्य विकासयति प्रतिशतम् पञ्च दशमः चतुर्मिता पञ्चदश नवम तु मध्ये स्थास्यति ,785,15,23,11,122,/home/holla/data/processed/NKN-2014-07-09-1810-0002.wav,7,8,0
जम्मू कश्मीर राज्ये पूंछ जनपदे नियंत्रण् रेखा क्षेत्रे आतंकवादिभिः विधीयमानोअवैध प्रवेशस्य प्रयासः सेनाभिः मोघीकृतः ,चक्र राज्ये पञ्च जनपदे नियन्त्रण रेखा क्षेत्रे आतङ्कवादिनः विधीयमानम् अवैरत्वम् प्रयासः सेनानीः ,292,9,36,14,102,/home/holla/data/processed/MDV-2014-05-10-1810-0004.wav,7,0,2
अफ<unk>्गानिस्ताने देशे काबुलनगरीये अन्यतमे सैन्य प्रशिक्षण केन्द्रे गत दिने एकेन अफ<unk>्गान्सैनिकेन अमेरिकीयः सैन्याधिकारी व्यापादितः ,अङ्गानि तान् देशे कुल नगरे अन्यतमे सैन्य प्रतिक्षण केन्द्र गत दिने एकेन परान् सैनिक अमेरिका सैन्याधिकारिणश्च ,592,10,40,14,122,/home/holla/data/processed/MGV-2014-08-06-0655-0004.wav,8,2,0
भाजपा नेतुः नरेन्द्रमोदिनो वाराणस्यामायोज्यमानेषु पज्चसु कार्यक्रमेषु अधिकारिणां अनुज्ञाप्रदाने विलम्बकारणात् अद्य दलेन त्रयः कार्यक्रमाः निरस्ताः ,राजा नेतुः नरेन्द्र मदेन वारणस्य योज्यानि पञ्चसु कार्यक्रमेषु अधिकारिणम् अनुज्ञा प्रधाने विलम्बकरणेन त्रयः कार्यक्रमाः निरस्ताः ,133,11,27,14,133,/home/holla/data/processed/BDS-2014-05-08-0655-0001.wav,10,1,0
आरक्षि सोसांसि संदर्भयन अस्मदीयो वार्ताहरो विज्ञापयति यत् सर्वेव्यापारिताः आतंकवादिनः जैश्ईमोहम्मद् इति आतंकवादीसंघटनस्य अवर्तन्त ,वर्षेषु साहसी सन्दर्भे अस्मदीयो वार्तातो विज्ञायत यत् सर्वे व्यापारितो आतङ्कवादिनः जैसे महम्मद् ति आतङ्कवादः सङ्घस्य अवर्तन्त ,247,13,31,13,117,/home/holla/data/processed/NKN-2014-09-02-1810-0008.wav,10,3,0
भारतस्य मुख्य न्यायाधीशः आर्एम्लोढा प्राभाषत यत् विधायिकाकार्यपालिकायाभ्यां न्याय पालिकायाः अधिकारक्षेत्रे कथङ्कारमपि हस्तक्षेपो विधातत्यः ,भारतस्य मुख्ये न्यायाधीशः आरुढा प्रभाषेत यत् विधाय कालिका याभ्याम् न्याय्याः अधिकारक्षेत्रे कथम् कामपि हस्त क्षेपो विधाप्य ,130,12,30,13,126,/home/holla/data/processed/NKN-2014-08-15-1810-0004.wav,9,3,0
एकादश दिवसात्मकं संस्कुत सम्भाषण शिविरं भारत संस्कृत परिषदा नवदिल्ल्याम् आरब्धम् यस्मिन् देशस्य विभिन्न भागेभ्यः समवेताः संस्कृतानुरागिणः सहभागित्वं आवहन्ति ,एकादश दिवसात्मकम् संस्कृत सम्भाषण शिविरम् भारत संस्कृत परिषद् नव दिव्याम् आरब्धम् यस्मिन् देशस्य विभिन्न भागेभ्यः समवेताः संस्कृत नु रागेण सहभागित्वम् आवहन्ति ,146,10,14,18,139,/home/holla/data/processed/BDS-2014-06-16-0655-0011.wav,7,3,0
वाराणस्यां विनैव अनुमतिं गत दिने मार्गीयनिर्वाचनसभायोजनार्थं भाजपा नेतानं नरेन्द्र मोदिनं विरूद्ध्य कार्याचरणाय क<unk>न्ग्रेस् दलं निर्वाचनायोगम् अध्यार्थयत् ,वारणस्य विनैव अनुमतिम् दिने मार्ग निर्वाचन सभा योजनाम् भावान्तरम् नरेन्द्र मदनम् विरुध्य कार्याचरणे क्रेतुम् निर्वाचन योगम् अध्याप्य ,515,15,44,16,142,/home/holla/data/processed/SUK-2014-05-09-1810-0001.wav,14,1,0
उत्तरप्रदेशप्रशासनं हत्यासंदिग्धस्य आत्मघातमालक्ष्य बुलन्दशहर्रक्षिस्थात्रे नियुक्तान् सर्वान् अपि रक्षिकार्मिकान् निलम्बयति ,उत्तरप्रदेशे प्रशासनम् हत्वा सन्दिग्धत्वात् माता लक्ष बन्धः रक्ष स्यात् नियुक्तम् सर्वान् अपि रक्ष कार्मिकाः विलम्बते ,185,13,32,9,116,/home/holla/data/processed/BDS-2014-06-01-1810-0001.wav,7,6,0
प्रतिरक्षा मन्त्रिणा अरुणजेटली वर्येण भणितं यत् सशस्त्रसेनार्थम् आयुधानां क्रयप्रक्रिया शैथिल्यं प्रति याति एदत् विषयः चिन्तनीयो वर्तते ,प्रतिरक्षा मन्त्रि अरुणेति वर्येण भणितम् यत् सशस्त्र सेवार्थम् आयुधानाम् क्रिय प्रक्रिया शैथिल्यम् प्रति याति एतद् विषयः चिन्तनीयः वर्तते ,171,11,17,16,120,/home/holla/data/processed/SUK-2014-06-24-1810-0001.wav,9,2,0
अत्र धर्मसूत्रोक्तान् धर्मान् श्रौतानि गार्ह्याणि च कर्माणि अपेक्षन्ते ,अत्र धर्म सूत्रम् तान् धर्मान् श्रुतानि कार्याणि च कर्माणि अपेक्षन्ते ,572,5,6,8,63,/home/holla/data/processed/AAM-2010-07-11-0520-0054.wav,3,2,0
प्रधान मन्त्रिणा अद्य कृषिवैज्ञानिकाः विनिवेदिताः यत् ते कृषि क्षेत्रे गुणवत्तायुतोत्पादनक्षमतां विवर्धयितुं शोधपराः भवेयुः ,प्रधानमन्त्रिणः अद्य कृषि वैज्ञानिकाः निवेदिताः यत् कृषि क्षेत्रे गुणवत्तायुताम् पाद क्षमताम् विवर्धयितुम् शोधकार्ये ,557,11,20,13,111,/home/holla/data/processed/DAJ-2014-07-29-1810-0001.wav,9,1,1
भाजपादलाध्यक्षेण राजनाथसिंहेन मासेस्मिन् विंशे दिने नरेन्द्रमोदिने नेतृत्व भारसमर्पणाय तं चेतुं भाजपासंसदीयमण्डलस्य उपवेशनार्थं समामन्त्रितम् ,राजपदम् क्षयेण राजन् सङ्घेन मासे अस्मिन् वंशे दिने नरेन्द्र दिने नेतृत्वे भार समर्पणीय तम् चेतुम् भावा संसदि मण्डलस्य उपवेषणार्थम् साम्प्रतम् ,310,19,34,13,129,/home/holla/data/processed/BDS-2014-05-18-1810-0003.wav,12,7,0
कृषि मन्त्री राधा मोहन सिंगः निगदति यत् वृष्टेः नैयून्येना समुत्पद्यमानाः स्थितिेः सम्मुखीकर्तुं आपात योजनाः सज्जीकृताः ,मन्त्री राजा मोह सङ्गः निनदति यत् वृष्टेः नैयून्यम् सम्पद्यमानाः स्थितिः समीकर्तुम् अपाति योजनाः सज्जा कृताः ,951,12,24,15,105,/home/holla/data/processed/SDS-2014-06-10-0655-0003.wav,10,1,1
गाज<unk>ा क्षेत्रे गत दिने इस्रयलीयविमानैः विहिताक्रमणप्रसङ्गे न्यूनातिन्यूनं सप्त दशपैलेस्टाइनजनाः निहताः शत प्रायाश्च व्रणिताः ,गाता क्षेत्रे गत दिने स्वीय विमानैः विहिता क्रमः प्रसङ्गे न्यूनातिन्यूनम् सप्तदश पले सन् जनाः निरताः शत प्रायशः प्रणताः ,97,14,25,13,116,/home/holla/data/processed/MGV-2014-07-09-0655-0006.wav,9,5,0
लोकसभानिर्वाचनेषु व्यापकं विजयं अधिगम्य भाजपासन्नीता राष्ट्रियलोक तान्त्रिकसंयुतिः केन्द्रे अभिनवं प्रशासनं विरचयितुं सन्नद्धास्ति ,लोक सभा निर्वाचन व्यापकम् विजयम् अधिगम्य भावा सीता राष्ट्रिय लोकतन्त्र संयति केन्द्र अभिनवम् प्रशासनम् विरचयितुम् सन्नद्धान् ,542,15,27,12,119,/home/holla/data/processed/DAJ-2014-05-17-0655-0001.wav,11,4,0
परञ्च इज<unk>रायल देशेन संचेतितं यत् यदि फलस्तीनोग्रवादिभिः संघर्ष विरामस्य उल्लङ्घनं विधीयते तर्हि सैन्य बलैः नूनं प्रत्युत्तरिष्यते ,परञ्च इन्द्राय देशेन सञ्चितम् यत् यदि फलस्य नगर वादिभिः सङ्घर्षम् रामस्य उल्लङ्घनम् विधीयते तर्हि सैन्यैः नूनम् प्रत्युत्तरम् ते ,270,12,30,16,118,/home/holla/data/processed/DAJ-2014-07-27-0655-0008.wav,10,2,0
महानद्याः तदीयसहयोगिनद्याश्च जलं कटककेन्द्रपाराजगतसिंहपुर्पुरीजनपदानाम् अधिकतर् तरेषु भागेषु परितः प्रसृतमस्ति ,महा नद्याः तदीय सह योगी नद्याम् जलम् कन्दरा जगति पुरी जनपदानाम् अधिकतमेषु भागेषु परितः प्रसृतम् सति ,301,14,25,9,102,/home/holla/data/processed/MDV-2014-08-09-1810-0008.wav,7,7,0
आकाशवाण्याः वार्ता सेवाप्रभागतः प्रतिदिनं प्रातः सायं च प्रसार्यमाणाः संस्कृतवार्ताः अद्य चत्वारिंशद् वर्षाणि पूर्णतां नयन्ति ,आकाश वाण्याः वार्ता सेवा प्रभावतः प्रतिदिनम् प्रातः सायम् च प्रसार्य मनः संस्कृत वार्ताः अद्य चत्वारिंशत् वर्षाणि पूर्णताम् नयन्ति ,958,12,11,14,112,/home/holla/data/processed/DAJ-2014-06-29-0655-0004.wav,8,4,0
अस्मदीयो वार्ताहरो विज्ञापयति यत् द्वितीयचरणात्मकं संचाररोधशैथिल्यं नवीननगरीयक्षेत्रे त्रिवादनतः सायं सप्तवादनपर्यन्तं प्रदास्यते ,अस्मदीयो वार्ताः तु विज्ञायत यद्वत् चरणात् कम् सञ्चार रोधः शैथिल्यम् नवीन नगरी क्षेत्रे त्रि वदतः सायम् सप्त वादनियमान् दास्यते ,801,18,32,11,119,/home/holla/data/processed/DAJ-2014-07-29-1810-0010.wav,10,8,0
तत्र प्रत्यक् दक्षिणापवर्ग अपवर्गः न स्यात् इत्यतः एतत् सूत्रं कृतम् सूत्रकारेण ,तत्र प्रत्यग् दक्षिणा वर्गः अपवर्ग न स्यात् इत्यतः एतत् सूत्रम् कृतम् सूत्रकारैः ,269,6,8,11,69,/home/holla/data/processed/KAM-2010-07-20-0428-0110.wav,5,1,0
वाराणस्यां मतदानकेन्द्रे दलस्य नैर्वाचनिकचिह्नप्रदर्शनार्थं क<unk>न्ग्रेस्दलीयं प्रत्याशिनम् अजयरायं विरुध्य प्राथमिकी पञ्जीकारिता ,वयस्याम् तदान केन्द्र जलस्य निर्वाचन किन्न प्रदर्शनम् कङ्कस्य प्रत्याशा जय राम विरुध्य प्राथमिक ,114,13,49,10,121,/home/holla/data/processed/DAJ-2014-05-12-1810-0001.wav,10,3,0
तृतीयं तावत् रजत पदकं विंशति वर्षदेशीयेन विकास ठाकुरेण भारोत्तोलनक्रीडायां पुरुषाणां पञ्चाशीतिकिलोग्राम्स्पर्धा वर्गे समर्जितम् ,तृतीयम् तावत् जनपदम् विंशति वर्ष देशीय विकासेन भारतेन क्रीडानाम् पुरुषाणाम् पञ्चाशतः किलो ग्राम स्पर्धा वर्गे समर्पितम् ,782,14,28,13,115,/home/holla/data/processed/MGV-2014-07-29-0655-0010.wav,11,3,0
वित्तमन्त्री अरुण जेटली निगदति यत् वस्तु सेवा कराधानस्य कार्यान्वयनार्थं केन्द्रेण राज्यैश्च संभूय कार्याणि आचरणीयानि ,वित्त मन्त्री अरुणेति निदधत यत् वस्तु सेवा कराधान स्य कार्याणि वार्तम् चन्द्रेण राज्ये च सम्भूय कार्याणि आचरणीयानि ,882,12,20,14,104,/home/holla/data/processed/SDS-2014-06-10-0655-0001.wav,9,3,0
प्रधान मन्त्री प्राभाषत यत् स्वच्छभारताभियानं राजनीतितः अतिदूरं वर्तते यतो हि एतत् देशभक्ति भावनया सम्प्रेरितमस्ति न तु राजनीतिक दृशा ,प्रधानमन्त्री प्रभाषेत यत् स्वच्छताभियानम् राजनीतिक अति दूरम् वर्तते यतो हि एतत् देशभक्तः भावनया सम्प्रति सति न तु राजनीतिक दशा ,587,11,18,18,116,/home/holla/data/processed/NKN-2014-10-02-1810-0005.wav,10,1,0
ततः परं हिरण्यगर्भ एव हिरण्यगर्भरूपय रूप एव परमात्मा हिरण्यगर्भरूपस्सन् पुनः पञ्चभूतः पञ्चभूतसु प्रविष्ट्वा पञ्चम्तेषु प्रविष्टस्सन् विराडित्युच्यते ,ततः परम् हिरण्यगर्भः अरण्यम् रूपे रूप एव परमात्मा हिरण्यगर्भः सन् पुनः पञ्चभिः पञ्च भूतः प्रविष्टा पञ्चभूतेषु प्रविष्टः सन् विवाद्यते ,389,14,33,16,133,/home/holla/data/processed/ANA-2010-07-20-0216-0171.wav,11,3,0
प्राशासनिकस्रोतसामनुसारि चीन देशस्य सीमानं निकषा अंजाप्रान्तः वर्तमान पञ्चदिवसात् राज्यस्य अन्येभ्यः भागेभ्यः संपर्करहितो वर्तते ,प्रशासने स्रोतसाम् अनुसारि देशस्य सीमानम् निकषः अन्या प्रान्तः वर्तमान पञ्च दिवसान् राज्यस्य अन्येभ्यः भागेभ्यः सम्प्रति वर्तते ,824,10,22,13,116,/home/holla/data/processed/DAJ-2014-05-12-1810-0016.wav,7,3,0
भट्ट भास्कराः भट्ट भास्कराः न केवलं वेदाङ्गेषु शास्त्रेषु च कृतभूरि परिश्रमाः अपि च कृत्स्नस्य व्याकरणस्य मूर्धन्य पण्डिताः बभूवुः ,भ्रात्रा भट्टमल्लः न केवलम् वेदाङ्गेषु शास्त्रेषु च कृतपरिश्रमाः अपि च कृत्स्नस्य व्याकरणस्य मूर्धनि पण्डिता बभूवुः ,583,9,21,18,113,/home/holla/data/processed/VP3-2015-04-10-1200-0003.wav,6,0,3
यतः तथैव शास्त्रेषु दर्शतिथेः ज्योतिश्शास्त्रे निर्णयितत्वात् ,यतः तथैव शास्त्रेषु दर्शितः ज्योतिः शास्त्रे निर्भीकत्वम् ,272,4,11,6,56,/home/holla/data/processed/VAM-2010-06-22-2218-0008.wav,3,1,0
अत्र प्राणस्य स्वरूपं अग्नेस्स्वरूपं वयं परीक्षामहे तर्हि प्राणोनाम ङ शक्तिरूपः क्रियात्मकः ,अत्र प्राणस्य स्वरूपम् अग्रे स्वरूपम् वयम् परीक्षाम् प्राणो नाम शक्ति रूप क्रियात्मकाः ,275,10,18,11,81,/home/holla/data/processed/ANA-2010-07-20-0216-0190.wav,9,1,0
